Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Afghanistan	173659	94	7598	2	156326	407	9735	1124	4301	188	890731	22060	40378143	Asia	233	5314	45	2.0	0.05	241
Hong Kong	171314	0	659	0	13232	0	157423	16	22548	87	36260319	4772573	7597646	Asia	44	11529	0	0.0	0.0	20720
Maldives	169632	0	297	0	154246	0	15089	25	304933	534	2183549	3925178	556293	Asia	3	1873	0	0.0	0.0	27124
Uganda	163266	16	3588	0	99995	5	59683	35	3392	75	2460535	51124	48128415	Africa	295	13414	20	0.3	0.0	1240
Ghana	159124	0	1442	0	157133	0	549	1	4950	45	2305405	71717	32145660	Africa	202	22292	14	0.0	0.0	17
Namibia	157210	0	4007	0	152694	0	509	2	60072	1531	953850	364479	2617022	Africa	17	653	3	0.0	0.0	194
El Salvador	147786	0	4068	0	123870	0	19848	153	22596	622	1693464	258925	6540376	North America	44	1608	4	0.0	0.0	3035
Laos	142743	134	621	0	7660	0	134462	0	19160	83	1000342	134270	7450238	Asia	52	11997	7	18.0	0.0	18048
Cambodia	130276	356	3032	0	123772	419	3472	0	7618	177	2859086	167180	17101809	Asia	131	5640	6	21.0	0.0	203
Iceland	129844	1099	62	1	75685	0	54097	2	376459	180	1754901	5088012	344909	Europe	3	5563	0	3186.0	3.0	156844
Rwanda	129489	0	1457	0	45522	0	82510	1	9604	108	4832169	358388	13483084	Africa	104	9254	3	0.0	0.0	6120
Jamaica	127961	0	2813	0	76703	0	48445	25	42903	943	848470	284477	2982561	North America	23	1060	4	0.0	0.0	16243
Trinidad and Tobago	127404	0	3622	0	102045	0	21737	18	90551	2574	627706	446134	1406989	North America	11	388	2	0.0	0.0	15449
Guadeloupe	126642	0	837	0	2250	0	123555	19	316418	2091	938039	2343709	400237	North America	3	478	0	0.0	0.0	308705
Cameroon	119240	0	1923	0	117089	0	228	13	4314	70	1751774	63382	27638422	Africa	232	14373	16	0.0	0.0	8
Martinique	112901	0	876	0	104	0	111921	16	301244	2337	678821	1811237	374783	North America	3	428	1	0.0	0.0	298629
New Zealand	100821	14683	56	0	18332	218	82433	0	20156	11	6711198	1341676	5002100	Australia/Oceania	50	89323	1	2935.0	0.0	16480
Angola	98701	0	1899	0	96622	0	180	0	2856	55	1424011	41209	34555986	Africa	350	18197	24	0.0	0.0	5
DRC	85999	0	1335	0	50930	0	33734	0	914	14	846704	9002	94061790	Africa	1094	70458	111	0.0	0.0	359
Senegal	85693	17	1960	0	83631	9	102	2	4904	112	1014840	58079	17473411	Africa	204	8915	17	1.0	0.0	6
Malawi	85328	0	2615	0	75578	0	7135	67	4278	131	546116	27378	19947226	Africa	234	7628	37	0.0	0.0	358
Ivory Coast	81467	0	792	0	79816	0	859	0	2967	29	1414287	51507	27458300	Africa	337	34670	19	0.0	0.0	31
Suriname	78123	31	1316	0	49355	1	27452	3	131226	2211	228303	383489	595331	South America	8	452	3	52.0	0.0	46112
French Guiana	77652	0	391	0	11254	0	66007	6	249299	1255	591966	1900488	311481	South America	4	797	1	0.0	0.0	211913
Malta	71275	40	605	1	69566	61	1104	3	160714	1364	1211456	2731648	443489	Europe	6	733	0	90.0	2.0	2489
Eswatini	69130	0	1390	0	67643	0	97	11	58583	1178	477146	404346	1180043	Africa	17	849	2	0.0	0.0	82
French Polynesia	65583	0	638	0	0	0	0	7	231255	2250	0	0	283596	Australia/Oceania	4	445	0	0.0	0.0	110880
Fiji	63930	2	834	1	61908	18	1188	0	70470	919	497039	547885	907196	Australia/Oceania	14	1088	2	2.0	1.0	1310
Madagascar	63659	0	1366	0	58677	0	3616	61	2205	47	398434	13802	28867987	Africa	453	21133	72	0.0	0.0	125
Brunei	63542	4095	125	4	33512	2490	29905	14	142980	281	712994	1604354	444412	Asia	7	3555	1	9214.0	9.0	67291
Guyana	62891	0	1220	0	60929	0	742	10	79324	1539	538535	679253	792834	South America	13	650	1	0.0	0.0	936
Sudan	61376	0	3901	0	40329	0	17146	0	1348	86	562941	12361	45542220	Africa	742	11674	81	0.0	0.0	376
Mauritania	58632	0	979	0	57602	0	51	30	12085	202	743798	153306	4851716	Africa	83	4956	7	0.0	0.0	11
Belize	56597	0	650	0	54453	0	1494	6	138187	1587	499451	1219458	409568	North America	7	630	1	0.0	0.0	3648
Cabo Verde	55882	0	401	0	55409	0	72	23	98735	709	400982	708474	565980	Africa	10	1411	1	0.0	0.0	127
Barbados	55031	0	315	0	52253	0	2463	0	191108	1094	584756	2030706	287957	North America	5	914	0	0.0	0.0	8553
Syria	54480	0	3071	0	46933	0	4476	0	2993	169	146269	8035	18203608	Asia	334	5928	124	0.0	0.0	246
New Caledonia	54177	1170	299	0	46473	4155	7405	32	186791	1031	98964	341208	290040	Australia/Oceania	5	970	3	4034.0	0.0	25531
